,CustomerId,CreditScore,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,Exited
0,15634602,619,2,0.0,1,1,1,1
1,15647311,608,1,83807.86,1,0,1,0
2,15619304,502,8,159660.8,3,1,0,1
3,15701354,699,1,0.0,2,0,0,0
4,15737888,850,2,125510.82,1,1,1,0
5,15574012,645,8,113755.78,2,1,0,1
6,15592531,822,7,0.0,2,1,1,0
7,15656148,376,4,115046.74,4,1,0,1
8,15792365,501,4,142051.07,2,0,1,0
9,15592389,684,2,134603.88,1,1,1,0
10,15767821,528,6,102016.72,2,0,0,0
11,15737173,497,3,0.0,2,1,0,0
12,15632264,476,10,0.0,2,1,0,0
13,15691483,549,5,0.0,2,0,0,0
14,15600882,635,7,0.0,2,1,1,0
15,15643966,616,3,143129.41,2,0,1,0
16,15737452,653,1,132602.88,1,1,0,1
17,15788218,549,9,0.0,2,1,1,0
18,15661507,587,6,0.0,1,0,0,0
19,15568982,726,6,0.0,2,1,1,0
20,15577657,732,8,0.0,2,1,1,0
21,15597945,636,8,0.0,2,1,0,0
22,15699309,510,4,0.0,1,1,0,1
23,15725737,669,3,0.0,2,0,1,0
24,15625047,846,5,0.0,1,1,1,0
25,15738191,577,3,0.0,2,0,1,0
26,15736816,756,2,136815.64,1,1,1,0
27,15700772,571,9,0.0,2,0,0,0
28,15728693,574,3,141349.43,1,1,1,0
29,15656300,411,0,59697.17,2,1,1,0
30,15589475,591,3,0.0,3,1,0,1
31,15706552,533,7,85311.7,1,0,1,0
32,15750181,553,9,110112.54,2,0,0,0
33,15659428,520,6,0.0,2,1,1,0
34,15732963,722,9,0.0,2,1,1,0
35,15794171,475,0,134264.04,1,1,0,1
36,15788448,490,3,145260.23,1,0,1,0
37,15729599,804,7,76548.6,1,0,1,0
38,15717426,850,7,0.0,1,1,1,0
39,15585768,582,6,70349.48,2,0,1,0
40,15619360,472,4,0.0,1,1,0,0
41,15738148,465,8,122522.32,1,0,0,1
42,15687946,556,2,117419.35,1,1,1,0
43,15755196,834,2,131394.56,1,0,0,1
44,15684171,660,5,155931.11,1,1,1,0
45,15754849,776,4,109421.13,2,1,1,0
46,15602280,829,9,112045.67,1,1,1,1
47,15771573,637,9,137843.8,1,1,1,1
48,15766205,550,2,103391.38,1,0,1,0
49,15771873,776,2,103769.22,2,1,0,0
50,15616550,698,10,116363.37,2,1,0,0
51,15768193,585,5,146050.97,2,0,0,0
52,15683553,788,5,0.0,2,0,0,0
53,15702298,655,8,125561.97,1,0,0,1
54,15569590,601,1,98495.72,1,1,0,1
55,15760861,619,1,125211.92,1,1,1,0
56,15630053,656,5,127864.4,1,1,0,0
57,15647091,725,0,75888.2,1,0,0,0
58,15623944,511,4,0.0,1,1,0,1
59,15804771,614,4,40685.92,1,1,1,0
60,15651280,742,5,136857.0,1,0,0,0
61,15773469,687,9,152328.88,2,0,0,0
62,15702014,555,1,56084.69,2,0,0,0
63,15751208,684,8,78707.16,1,1,1,0
64,15592461,603,4,109166.37,1,1,1,0
65,15789484,751,6,169831.46,2,1,1,0
66,15696061,581,1,101633.04,1,1,0,0
67,15641582,735,10,123180.01,2,1,1,0
68,15638424,661,5,150725.53,2,0,1,0
69,15755648,675,8,98373.26,1,1,0,0
70,15703793,738,2,133745.44,4,1,0,1
71,15620344,813,6,0.0,1,1,0,0
72,15812518,657,0,163607.18,1,0,1,0
73,15779052,604,5,157780.84,2,1,1,0
74,15770811,519,9,0.0,2,0,1,0
75,15780961,735,1,178718.19,2,1,0,0
76,15614049,664,8,0.0,2,1,1,0
77,15662085,678,9,0.0,1,1,1,0
78,15575185,757,5,77253.22,1,0,1,0
79,15803136,416,10,122189.66,2,1,0,0
80,15706021,665,1,96645.54,2,0,0,0
81,15663706,777,2,0.0,1,1,0,1
82,15641732,543,3,0.0,2,0,0,0
83,15701164,506,4,90307.62,1,1,1,0
84,15738751,493,4,0.0,2,1,0,0
